boundary_key,boundary_names_seen,school_id,matched_rcdts,matched_isbe_name,match_method,n_rc_years_covered,isbe_missing_rc_years,boundary_vintages_seen,addresses_seen
609773,AGASSIZ|TUBMAN,609773,150162990252052,AGASSIZ ELEM SCHOOL,exact,20,,SY0809|SY0910|SY1011|SY1112|SY1213|SY1314|SY1415|SY1516|SY1617|SY1718|SY1819|SY1920|SY2021|SY2122|SY2223|SY2324|SY2425|SY2526,"2851 N SEMINARY AV|2851 N SEMINARY AVE  CHICAGO, IL 60657"
609774,ALCOTT|ALCOTT ES,609774,150162990252053,ALCOTT ELEM SCHOOL,exact,20,,SY0809|SY0910|SY1011|SY1112|SY1213|SY1314|SY1415|SY1516|SY1617|SY1718|SY1819|SY1920|SY2021|SY2122|SY2223|SY2324|SY2425|SY2526,"2625 N ORCHARD ST|2625 N ORCHARD ST  CHICAGO, IL 60614"
609782,AUDUBON,609782,150162990252062,AUDUBON ELEM SCHOOL,exact,20,,SY0809|SY0910|SY1011|SY1112|SY1213|SY1314|SY1415|SY1516|SY1617|SY1718|SY1819|SY1920|SY2021|SY2122|SY2223|SY2324|SY2425|SY2526,"3500 N HOYNE AV|3500 N HOYNE AVE  CHICAGO, IL 60618"
609799,BELL,609799,150162990252082,BELL ELEM SCHOOL,exact,20,,SY0809|SY0910|SY1011|SY1112|SY1213|SY1314|SY1415|SY1516|SY1617|SY1718|SY1819|SY1920|SY2021|SY2122|SY2223|SY2324|SY2425|SY2526,"3730 N OAKLEY AV|3730 N OAKLEY AVE  CHICAGO, IL 60618"
609803,BLAINE,609803,150162990252087,BLAINE ELEM SCHOOL,exact,20,,SY0809|SY0910|SY1011|SY1112|SY1213|SY1314|SY1415|SY1516|SY1617|SY1718|SY1819|SY1920|SY2021|SY2122|SY2223|SY2324|SY2425|SY2526,"1420 W GRACE ST|1420 W GRACE ST  CHICAGO, IL 60613"
609812,"BROWN|BROWN, W|NEW BROWN",609812,150162990252097,"BROWN, W ELEM SCHOOL",exact,20,,SY0809|SY0910|SY1011|SY1112|SY1213|SY1314|SY1415|SY1516|SY1617|SY1718,"54 N HERMITAGE AV|54 N HERMITAGE AVE  CHICAGO, IL 60612"
609820,BURLEY,609820,150162990252104,BURLEY ELEM SCHOOL,exact,20,,SY0809|SY0910|SY1011|SY1112|SY1213|SY1314|SY1415|SY1516|SY1617|SY1718|SY1819|SY1920|SY2021|SY2122|SY2223|SY2324|SY2425|SY2526,"1630 W BARRY AV|1630 W BARRY AVE  CHICAGO, IL 60657"
609828,BURR,609828,150162990252108,BURR ELEM SCHOOL,exact,20,,SY0809|SY0910|SY1011|SY1112|SY1213|SY1314|SY1415|SY1516|SY1617|SY1718|SY1819|SY1920|SY2021|SY2122|SY2223|SY2324|SY2425|SY2526,"1621 W WABANSIA AV|1621 W WABANSIA AVE  CHICAGO, IL 60622"
609838,CARPENTER,609838,150162990252121,CARPENTER ELEM SCHOOL,exact,6,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,SY0809|SY0910|SY1011,1250 W ERIE ST
609850,GREELEY,609850,150162990252227,GREELEY ELEM SCHOOL,exact,20,,SY0809|SY0910|SY1011|SY1112|SY1213|SY1314|SY1415|SY1516|SY1617|SY1718|SY1819|SY1920|SY2021|SY2122|SY2223|SY2324|SY2425|SY2526,"832 W SHERIDAN RD|832 W SHERIDAN RD  CHICAGO, IL 60613"
609866,COONLEY,609866,150162990252141,COONLEY ELEM SCHOOL,exact,20,,SY0809|SY0910|SY1011|SY1112|SY1213|SY1314|SY1415|SY1516|SY1617|SY1718|SY1819|SY1920|SY2021|SY2122|SY2223|SY2324|SY2425|SY2526,"4046 N LEAVITT ST|4046 N LEAVITT ST  CHICAGO, IL 60618"
609963,HAMILTON,609963,150162990252240,HAMILTON ELEM SCHOOL,exact,20,,SY0809|SY0910|SY1011|SY1112|SY1213|SY1314|SY1415|SY1516|SY1617|SY1718|SY1819|SY1920|SY2021|SY2122|SY2223|SY2324|SY2425|SY2526,"1650 W CORNELIA AV|1650 W CORNELIA AVE  CHICAGO, IL 60657"
