segment_rcdts_pair,n_pairs,n_hi_side,n_lo_side,hold_mean_years
150162990252052|150162990252053,522,323,199,4.048
150162990252052|150162990252104,553,307,246,4.699
150162990252052|150162990252337,188,126,62,3.842
150162990252052|150162990252370,24,18,6,1.088
150162990252052|150162990252410,83,40,43,3.322
150162990252053|150162990252314,29,20,9,1.276
150162990252053|150162990252337,47,25,22,3.321
150162990252053|150162990252370,94,45,49,2.053
150162990252082|150162990252240,3,0,3,5.578
150162990252087|150162990252093,57,57,0,4.052
150162990252087|150162990252227,90,32,58,3.688
150162990252087|150162990252240,322,177,145,3.523
150162990252087|150162990252370,7,5,2,1.627
150162990252087|150162990252416,124,90,34,3.391
150162990252087|150162990252466,1,1,0,2.253
150162990252093|150162990252227,4,1,3,0.421
150162990252093|150162990252416,20,20,0,3.169
150162990252104|150162990252240,166,77,89,2.637
150162990252104|150162990252284,248,248,0,4.782
150162990252104|150162990252370,14,3,11,3.048
150162990252104|150162990252410,232,106,126,3.388
150162990252108|150162990252337,1,1,0,2.152
150162990252121|150162990252380,3,3,0,0.804
150162990252141|150162990252416,1,0,1,0.375
150162990252227|150162990252370,204,117,87,1.524
150162990252240|150162990252284,1,1,0,0.46
150162990252240|150162990252370,2,1,1,1.492
150162990252284|150162990252410,39,39,0,3.444
150162990252287|150162990252337,1,1,0,1.235
150162990252287|150162990252380,7,7,0,0.833
150162990252314|150162990252326,623,412,211,5.261
150162990252314|150162990252337,118,51,67,3.009
150162990252314|150162990252380,199,0,199,3.068
150162990252326|150162990252380,60,53,7,0.66
150162990252337|150162990252380,27,27,0,3.239
150162990252337|150162990252413,8,8,0,3.101
150162990252380|150162990252855,39,1,38,1.998
